Run,Temps,A,B,AB,ABA,ABAB 
0,1.60433,3.52,3.85,0.17,0.18,0.34
0,1.60893,3.52,3.85,0.19,0.18,0.33
0,1.61088,3.51,3.85,0.18,0.19,0.33
0,1.61105,3.51,3.84,0.18,0.18,0.34
0,1.61263,3.5,3.84,0.17,0.19,0.34
0,1.61964,3.51,3.84,0.18,0.18,0.34
0,1.62304,3.51,3.83,0.18,0.17,0.35
0,1.62503,3.51,3.82,0.18,0.16,0.36
0,1.64095,3.51,3.83,0.18,0.17,0.35
0,1.64173,3.51,3.82,0.18,0.16,0.36
0,1.64542,3.51,3.83,0.18,0.16,0.36
0,1.64637,3.51,3.84,0.18,0.16,0.36
0,1.64817,3.51,3.85,0.18,0.17,0.35
0,1.65092,3.5,3.85,0.17,0.18,0.35
0,1.66761,3.5,3.85,0.17,0.17,0.35
0,1.66916,3.5,3.85,0.19,0.17,0.34
0,1.6712,3.5,3.84,0.19,0.16,0.35
0,1.67306,3.5,3.83,0.19,0.15,0.36
0,1.6762,3.5,3.83,0.21,0.15,0.35
0,1.6771,3.5,3.82,0.21,0.14,0.36
0,1.68672,3.5,3.81,0.21,0.13,0.37
0,1.68949,3.5,3.8,0.21,0.12,0.38
0,1.69007,3.5,3.79,0.21,0.11,0.39
0,1.69031,3.5,3.8,0.21,0.12,0.38
0,1.69218,3.5,3.79,0.21,0.12,0.38
0,1.69341,3.5,3.78,0.21,0.11,0.39
0,1.6961,3.5,3.78,0.23,0.11,0.38
0,1.70089,3.5,3.78,0.25,0.11,0.37
0,1.70436,3.5,3.77,0.25,0.1,0.38
0,1.7044,3.5,3.76,0.25,0.09,0.39
