Temps,A,B,AB,ABA,ABAB
130.4,0.497576,0.49805,0.00125549,0.000474482,0.000115391
130.5,0.497585,0.498057,0.00125069,0.00047267,0.000114949
130.6,0.497594,0.498065,0.0012459,0.000470865,0.000114508
130.7,0.497603,0.498072,0.00124113,0.000469067,0.00011407
130.8,0.497612,0.49808,0.00123639,0.000467277,0.000113633
130.9,0.497621,0.498087,0.00123165,0.000465493,0.000113198
131,0.49763,0.498094,0.00122694,0.000463716,0.000112765
131.1,0.497639,0.498101,0.00122225,0.000461946,0.000112333
131.2,0.497648,0.498108,0.00121758,0.000460183,0.000111903
131.3,0.497657,0.498116,0.00121292,0.000458427,0.000111474
131.4,0.497666,0.498123,0.00120828,0.000456678,0.000111048
131.5,0.497675,0.49813,0.00120366,0.000454935,0.000110623
131.6,0.497684,0.498137,0.00119906,0.000453199,0.000110199
131.7,0.497693,0.498144,0.00119447,0.00045147,0.000109778
131.8,0.497701,0.498151,0.00118991,0.000449748,0.000109358
131.9,0.49771,0.498158,0.00118536,0.000448032,0.000108939
132,0.497719,0.498165,0.00118083,0.000446323,0.000108522
132.1,0.497727,0.498172,0.00117631,0.000444621,0.000108107
132.2,0.497736,0.498179,0.00117182,0.000442925,0.000107694
132.3,0.497745,0.498186,0.00116734,0.000441236,0.000107282
132.4,0.497753,0.498193,0.00116288,0.000439553,0.000106871
132.5,0.497762,0.4982,0.00115843,0.000437877,0.000106463
132.6,0.49777,0.498206,0.00115401,0.000436208,0.000106055
132.7,0.497779,0.498213,0.0011496,0.000434545,0.00010565
132.8,0.497787,0.49822,0.00114521,0.000432888,0.000105246
132.9,0.497795,0.498227,0.00114083,0.000431238,0.000104844
133,0.497804,0.498233,0.00113647,0.000429594,0.000104443
133.1,0.497812,0.49824,0.00113213,0.000427956,0.000104044
133.2,0.49782,0.498247,0.00112781,0.000426325,0.000103646
133.3,0.497829,0.498253,0.0011235,0.0004247,0.00010325
133.4,0.497837,0.49826,0.00111921,0.000423082,0.000102855
133.5,0.497845,0.498267,0.00111494,0.000421469,0.000102462
133.6,0.497853,0.498273,0.00111068,0.000419863,0.00010207
133.7,0.497861,0.49828,0.00110644,0.000418263,0.00010168
133.8,0.49787,0.498286,0.00110222,0.00041667,0.000101292
133.9,0.497878,0.498293,0.00109801,0.000415082,0.000100905
134,0.497886,0.498299,0.00109382,0.000413501,0.000100519
134.1,0.497894,0.498306,0.00108964,0.000411926,0.000100136
134.2,0.497902,0.498312,0.00108548,0.000410357,9.9753e-05
134.3,0.49791,0.498318,0.00108134,0.000408794,9.9372e-05
134.4,0.497918,0.498325,0.00107722,0.000407237,9.89925e-05
134.5,0.497926,0.498331,0.0010731,0.000405686,9.86145e-05
134.6,0.497933,0.498338,0.00106901,0.000404141,9.82379e-05
134.7,0.497941,0.498344,0.00106493,0.000402602,9.78628e-05
134.8,0.497949,0.49835,0.00106087,0.000401069,9.74892e-05
134.9,0.497957,0.498356,0.00105682,0.000399542,9.7117e-05
135,0.497965,0.498363,0.00105279,0.000398021,9.67462e-05
135.1,0.497972,0.498369,0.00104877,0.000396505,9.63769e-05
135.2,0.49798,0.498375,0.00104477,0.000394996,9.60091e-05
135.3,0.497988,0.498381,0.00104079,0.000393492,9.56426e-05
135.4,0.497995,0.498387,0.00103682,0.000391994,9.52776e-05
135.5,0.498003,0.498393,0.00103287,0.000390502,9.4914e-05
135.6,0.49801,0.498399,0.00102893,0.000389016,9.45518e-05
135.7,0.498018,0.498405,0.00102501,0.000387535,9.41911e-05
135.8,0.498025,0.498412,0.0010211,0.000386061,9.38317e-05
135.9,0.498033,0.498418,0.0010172,0.000384592,9.34737e-05
136,0.49804,0.498424,0.00101333,0.000383128,9.31171e-05
136.1,0.498048,0.498429,0.00100946,0.00038167,9.27619e-05
136.2,0.498055,0.498435,0.00100562,0.000380218,9.24081e-05
136.3,0.498063,0.498441,0.00100178,0.000378772,9.20556e-05
136.4,0.49807,0.498447,0.000997966,0.000377331,9.17045e-05
136.5,0.498077,0.498453,0.000994163,0.000375895,9.13548e-05
136.6,0.498085,0.498459,0.000990374,0.000374465,9.10064e-05
136.7,0.498092,0.498465,0.0009866,0.000373041,9.06594e-05
136.8,0.498099,0.498471,0.000982841,0.000371622,9.03137e-05
