Run,Temps,A,B 
0,6.14926,0.782,0.784
0,6.15056,0.782,0.782
0,6.16492,0.784,0.782
0,6.18104,0.784,0.784
0,6.18319,0.784,0.782
0,6.18505,0.782,0.782
0,6.18947,0.782,0.78
0,6.21412,0.78,0.78
0,6.21621,0.78,0.782
0,6.24466,0.78,0.784
0,6.25057,0.778,0.784
0,6.25721,0.778,0.786
0,6.26063,0.778,0.788
0,6.26266,0.778,0.79
0,6.27235,0.778,0.788
0,6.27549,0.78,0.788
0,6.29841,0.78,0.786
0,6.30531,0.78,0.788
0,6.32623,0.78,0.786
0,6.32827,0.78,0.784
0,6.32985,0.778,0.784
0,6.33244,0.778,0.786
0,6.34112,0.776,0.786
0,6.34285,0.776,0.788
0,6.34403,0.776,0.79
0,6.35061,0.774,0.79
0,6.36032,0.774,0.788
0,6.36321,0.772,0.788
0,6.37052,0.774,0.788
0,6.37267,0.772,0.788
0,6.37717,0.772,0.79
0,6.38537,0.772,0.792
0,6.39762,0.774,0.792
0,6.40658,0.772,0.792
0,6.41886,0.772,0.794
0,6.41953,0.772,0.796
0,6.43801,0.772,0.794
0,6.46165,0.772,0.792
0,6.47436,0.774,0.792
0,6.47627,0.776,0.792
0,6.47873,0.776,0.794
0,6.48047,0.776,0.792
0,6.48142,0.778,0.792
0,6.519,0.776,0.792
0,6.52297,0.776,0.794
0,6.52724,0.778,0.794
0,6.53243,0.776,0.794
0,6.53628,0.778,0.794
0,6.54537,0.778,0.792
0,6.55256,0.776,0.792
0,6.55466,0.774,0.792
0,6.55708,0.774,0.794
0,6.55891,0.774,0.796
0,6.56364,0.774,0.798
0,6.56839,0.774,0.796
0,6.56899,0.776,0.796
0,6.57489,0.776,0.794
0,6.57994,0.776,0.796
0,6.58655,0.776,0.794
0,6.59696,0.774,0.794
0,6.60232,0.774,0.796
0,6.60369,0.772,0.796
0,6.61187,0.772,0.794
0,6.62136,0.77,0.794
0,6.63918,0.77,0.792
0,6.64232,0.77,0.794
0,6.65454,0.768,0.794
0,6.66398,0.768,0.792
0,6.66777,0.768,0.79
0,6.6724,0.766,0.79
0,6.67556,0.768,0.79
0,6.67948,0.768,0.788
0,6.69336,0.766,0.788
0,6.70545,0.766,0.79
0,6.7117,0.764,0.79
0,6.73857,0.764,0.788
0,6.74388,0.764,0.786
0,6.76542,0.764,0.788
0,6.768,0.762,0.788
0,6.79398,0.76,0.788
0,6.80119,0.76,0.786
0,6.81412,0.76,0.788
0,6.81601,0.76,0.786
0,6.84187,0.76,0.784
0,6.87481,0.758,0.784
0,6.88414,0.758,0.782
0,6.89031,0.758,0.784
0,6.89164,0.76,0.784
0,6.90521,0.758,0.784
0,6.9053,0.758,0.782
0,6.91447,0.76,0.782
0,6.93717,0.758,0.782
0,6.94017,0.758,0.78
0,6.94167,0.76,0.78
0,6.94949,0.758,0.78
0,6.9571,0.76,0.78
0,6.99956,0.758,0.78
0,7.00064,0.76,0.78
0,7.00116,0.762,0.78
0,7.00337,0.762,0.778
0,7.00758,0.764,0.778
0,7.00826,0.764,0.78
0,7.01056,0.762,0.78
0,7.0139,0.762,0.778
0,7.0171,0.762,0.776
0,7.02556,0.762,0.778
0,7.02995,0.76,0.778
