Temps,A,B,C,AB,ABA,ABAB,ABC,ABCB,CB,CBC,CBCB
11.7,0.734405,0.903978,1.59275,0.346123,0.209561,0.152041,0.0085337,0.00555811,0.0126424,0.0118282,0.00497953
11.8,0.729968,0.899448,1.59143,0.347806,0.210255,0.152534,0.00868368,0.00565546,0.012894,0.0120881,0.00506876
11.9,0.725632,0.894991,1.59011,0.349453,0.21093,0.153013,0.00883515,0.00575382,0.0131486,0.0123514,0.0051588
12,0.721394,0.890606,1.58877,0.351061,0.211588,0.153478,0.0089881,0.00585321,0.0134063,0.0126178,0.00524966
12.1,0.717254,0.886292,1.58741,0.352633,0.212229,0.153929,0.00914253,0.00595362,0.0136669,0.0128876,0.00534134
12.2,0.71321,0.882048,1.58605,0.354167,0.212852,0.154365,0.00929843,0.00605505,0.0139307,0.0131606,0.00543384
12.3,0.709262,0.877875,1.58467,0.355665,0.213459,0.154788,0.00945579,0.00615748,0.0141975,0.0134369,0.00552718
12.4,0.705408,0.87377,1.58327,0.357127,0.214049,0.155197,0.00961461,0.00626093,0.0144674,0.0137165,0.00562136
12.5,0.701646,0.869732,1.58186,0.358552,0.214624,0.155592,0.00977487,0.00636539,0.0147404,0.0139993,0.00571638
12.6,0.697977,0.865762,1.58044,0.359942,0.215182,0.155974,0.00993658,0.00647085,0.0150165,0.0142854,0.00581225
12.7,0.694397,0.861857,1.579,0.361297,0.215726,0.156342,0.0100997,0.00657731,0.0152958,0.0145748,0.00590897
12.8,0.690906,0.858017,1.57755,0.362616,0.216254,0.156698,0.0102643,0.00668477,0.0155782,0.0148675,0.00600655
12.9,0.687502,0.85424,1.57609,0.363902,0.216768,0.15704,0.0104303,0.00679323,0.0158638,0.0151634,0.00610499
13,0.684185,0.850526,1.57461,0.365152,0.217268,0.15737,0.0105977,0.00690269,0.0161526,0.0154627,0.00620431
13.1,0.680952,0.846873,1.57312,0.36637,0.217753,0.157686,0.0107665,0.00701313,0.0164446,0.0157652,0.00630449
13.2,0.677803,0.843281,1.57161,0.367553,0.218225,0.157991,0.0109368,0.00712457,0.0167398,0.016071,0.00640556
13.3,0.674735,0.839749,1.57009,0.368704,0.218684,0.158283,0.0111084,0.00723699,0.0170382,0.0163801,0.00650751
13.4,0.671748,0.836274,1.56856,0.369823,0.219129,0.158562,0.0112814,0.00735039,0.0173399,0.0166925,0.00661035
13.5,0.668841,0.832856,1.56701,0.370909,0.219562,0.15883,0.0114559,0.00746477,0.0176449,0.0170082,0.00671408
13.6,0.666011,0.829495,1.56545,0.371964,0.219982,0.159086,0.0116317,0.00758014,0.0179532,0.0173272,0.00681872
13.7,0.663257,0.826188,1.56387,0.372988,0.22039,0.15933,0.0118089,0.00769648,0.0182648,0.0176494,0.00692426
13.8,0.660578,0.822935,1.56228,0.373981,0.220787,0.159563,0.0119875,0.00781379,0.0185797,0.017975,0.00703071
13.9,0.657973,0.819735,1.56068,0.374944,0.221172,0.159784,0.0121675,0.00793207,0.018898,0.0183039,0.00713807
14,0.65544,0.816585,1.55906,0.375877,0.221545,0.159994,0.0123488,0.00805133,0.0192196,0.0186361,0.00724635
14.1,0.652978,0.813487,1.55743,0.376782,0.221908,0.160193,0.0125316,0.00817155,0.0195447,0.0189716,0.00735555
